ECHO_RX,GPIO0
TRIG_TX,GPIO1
ESC_SERVO_FL,GPIO2
SW_L,GPIO3
I2S_BCLK,GPIO4
I2S_LRCLK,GPIO5
I2S_SDATA,GPIO6
LCD_CS,GPIO7
LCD_RST,GPIO8
LCD_DC,GPIO9
SPI_SCK,GPIO10
SPI_MOSI,GPIO11
SPI_MISO,GPIO12
LCD_BL,GPIO13
I2C_SDA,GPIO14
I2C_SCL,GPIO15
LED_L,GPIO16
DIP_4,GPIO17
DIP_3,GPIO18
DIP_2,GPIO19
DIP_1,GPIO20
TOUCH_CS,GPIO21
ESC_SERVO_RL,GPIO22
MOTOR_L,GPIO23
MOTOR_ENL,GPIO24
MOTOR_R,GPIO25
MOTOR_ENR,GPIO26
SW_R,GPIO27
ESC_SERVO_RR,GPIO28
LED_R,GPIO29
SD_CS,GPIO30
ESC_SERVO_FR,GPIO31
GP0,GPIO32
GP1,GPIO33
GP2,GPIO34
GP3,GPIO35
GP4,GPIO36
GP5,GPIO37
GP6,GPIO38
GP7,GPIO39
VOLUME,GPIO40
GP8,GPIO41
GP9,GPIO42
GP10,GPIO43
GP11,GPIO44
GP12,GPIO45
GP13,GPIO46
GP14,GPIO47
